New_Camp_N,Radios,Blankets,Mosquito nets,Mens clothes,Other Items,Womens clothes,Childrens clothes,Floor mats,Umbrellas,Portable lamp/torchs,Kitchen sets,Solar lamps,Cooking stoves,Fuel
Camp 10,0.000,0.000,0.000,0.010,0.010,0.030,0.100,0.070,0.080,0.110,0.300,0.720,0.650,0.920
Camp 11,0.010,0.000,0.000,0.010,0.061,0.020,0.081,0.091,0.061,0.172,0.545,0.535,0.495,0.899
Camp 12,0.000,0.020,0.000,0.051,0.000,0.040,0.081,0.010,0.081,0.101,0.263,0.727,0.687,0.879
Camp 13,0.000,0.010,0.000,0.000,0.000,0.000,0.101,0.071,0.081,0.242,0.626,0.657,0.636,0.576
Camp 14,0.010,0.010,0.010,0.010,0.083,0.031,0.094,0.063,0.052,0.198,0.396,0.698,0.469,0.865
Camp 15,0.000,0.000,0.010,0.000,0.042,0.042,0.094,0.052,0.135,0.188,0.469,0.594,0.563,0.792
Camp 16,0.010,0.031,0.031,0.000,0.133,0.041,0.020,0.163,0.031,0.122,0.500,0.582,0.633,0.694
Camp 17,0.000,0.052,0.031,0.103,0.052,0.165,0.186,0.216,0.227,0.155,0.433,0.330,0.237,0.670
Camp 18,0.000,0.019,0.019,0.049,0.010,0.029,0.049,0.272,0.039,0.204,0.544,0.388,0.757,0.621
Camp 19,0.000,0.000,0.017,0.000,0.000,0.050,0.076,0.059,0.084,0.176,0.496,0.571,0.597,0.874
Camp 1E,0.000,0.020,0.010,0.031,0.010,0.000,0.061,0.082,0.082,0.092,0.388,0.551,0.735,0.878
Camp 1W,0.000,0.031,0.031,0.052,0.093,0.072,0.113,0.093,0.186,0.072,0.454,0.639,0.381,0.742
Camp 20,0.000,0.000,0.023,0.000,0.046,0.092,0.069,0.126,0.103,0.218,0.517,0.552,0.621,0.621
Camp 21,0.000,0.000,0.000,0.021,0.093,0.052,0.072,0.062,0.072,0.072,0.278,0.670,0.804,0.794
Camp 22,0.000,0.000,0.000,0.008,0.057,0.033,0.066,0.049,0.033,0.156,0.500,0.648,0.492,0.918
Camp 23,0.000,0.000,0.021,0.000,0.011,0.021,0.063,0.126,0.063,0.137,0.495,0.663,0.642,0.758
Camp 24,0.000,0.000,0.000,0.000,0.000,0.048,0.029,0.152,0.029,0.152,0.495,0.524,0.657,0.914
Camp 25,0.000,0.000,0.000,0.020,0.027,0.000,0.040,0.087,0.080,0.133,0.460,0.580,0.727,0.847
Camp 26,0.000,0.015,0.015,0.007,0.066,0.029,0.074,0.044,0.081,0.221,0.507,0.596,0.566,0.772
Camp 27,0.000,0.038,0.009,0.009,0.019,0.019,0.047,0.038,0.113,0.274,0.698,0.519,0.632,0.575
Camp 2E,0.000,0.041,0.041,0.031,0.000,0.020,0.224,0.112,0.224,0.102,0.429,0.204,0.602,0.806
Camp 2W,0.000,0.000,0.067,0.038,0.067,0.067,0.212,0.115,0.135,0.144,0.385,0.346,0.663,0.760
Camp 3,0.020,0.040,0.020,0.051,0.051,0.101,0.192,0.172,0.152,0.182,0.424,0.455,0.636,0.333
Camp 4,0.000,0.041,0.021,0.072,0.010,0.072,0.155,0.227,0.268,0.186,0.505,0.134,0.526,0.639
Camp 5,0.020,0.010,0.031,0.041,0.051,0.061,0.235,0.102,0.102,0.112,0.296,0.622,0.612,0.582
Camp 6,0.000,0.038,0.029,0.019,0.038,0.067,0.067,0.124,0.171,0.333,0.476,0.476,0.571,0.590
Camp 7,0.000,0.041,0.041,0.010,0.021,0.062,0.175,0.165,0.072,0.082,0.577,0.557,0.371,0.763
Camp 8E,0.000,0.011,0.011,0.011,0.023,0.080,0.046,0.057,0.092,0.080,0.621,0.552,0.506,0.885
Camp 8W,0.000,0.000,0.000,0.010,0.031,0.031,0.042,0.135,0.073,0.104,0.583,0.552,0.750,0.688
Camp 9,0.010,0.010,0.000,0.021,0.021,0.010,0.103,0.124,0.196,0.206,0.577,0.485,0.454,0.722
Nayapara RC,0.000,0.000,0.064,0.011,0.160,0.032,0.096,0.096,0.191,0.160,0.479,0.500,0.319,0.851
