camp,ngo3,ngo2,ngo1,mos3,mos2,mos1
Camp 10,0.0833,0.7568,0.5500,0.0833,0.8649,0.5750
Camp 11,0.1111,0.6716,0.4737,0.3333,0.8955,0.7368
Camp 12,0.3750,0.7342,0.2273,0.3750,0.8354,0.5000
Camp 13,0.1111,0.6615,0.3750,0.1111,0.8769,0.5938
Camp 14,0.2727,0.6508,0.4884,0.1818,0.8095,0.6977
Camp 15,0.0000,0.7869,0.4412,0.0833,0.8689,0.6176
Camp 16,0.0833,0.7600,0.4783,0.2500,0.8000,0.5217
Camp 17,0.1667,0.5741,0.2963,0.1667,0.7593,0.4815
Camp 18,0.1818,0.7931,0.7037,0.2727,0.8966,0.7407
Camp 19,0.1000,0.7470,0.4048,0.3000,0.8916,0.6190
Camp 1E,0.1765,0.7000,0.1176,0.1765,0.8833,0.6176
Camp 1W,0.1500,0.5273,0.2857,0.1000,0.8727,0.7143
Camp 20,0.0000,0.5179,0.4286,0.3000,0.7679,0.5714
Camp 21,0.0000,0.5692,0.4474,0.1818,0.8000,0.6316
Camp 22,0.1000,0.7349,0.5897,0.0333,0.8675,0.7179
Camp 23,0.2308,0.6849,0.3529,0.3077,0.8219,0.3529
Camp 24,0.1176,0.6709,0.5500,0.2353,0.7975,0.6000
Camp 25,0.0476,0.8039,0.4571,0.1429,0.8627,0.4286
Camp 26,0.0714,0.4891,0.3095,0.1429,0.7826,0.5000
Camp 27,0.0714,0.6102,0.1500,0.2143,0.8136,0.2500
Camp 2E,0.0769,0.5952,0.1842,0.1538,0.8571,0.4737
Camp 2W,0.0769,0.5816,0.2632,0.2308,0.7245,0.5526
Camp 3,0.0588,0.5000,0.4000,0.3529,0.8333,0.7600
Camp 4,0.0588,0.7973,0.4412,0.2353,0.9054,0.5294
Camp 5,0.0000,0.3469,0.2308,0.0000,0.7755,0.5000
Camp 6,0.0714,0.7241,0.3214,0.1429,0.8793,0.6071
Camp 7,0.1000,0.3784,0.2069,0.0500,0.7568,0.5862
Camp 8E,0.1176,0.6667,0.5217,0.2353,0.8519,0.5217
Camp 8W,0.0588,0.7213,0.6250,0.2353,0.8689,0.7250
Camp 9,0.1176,0.6324,0.6296,0.2353,0.8235,0.7037
Nayapara RC,0.3810,0.6364,0.4444,0.5238,0.8030,0.5185
