Camp,Other,cl,viol_home,reg,psych,comm_voi,rec,rd,cm,nd,kidnap,abuse
Camp 10,0.0000,0.1300,0.0900,0.1200,0.1000,0.1900,0.2200,0.0600,0.2700,0.1700,0.5000,0.3100
Camp 11,0.0101,0.0606,0.0808,0.0808,0.1010,0.1818,0.2121,0.1111,0.2121,0.2121,0.5354,0.3838
Camp 12,0.0000,0.1111,0.0808,0.0909,0.0101,0.1818,0.0606,0.1111,0.3535,0.2727,0.3232,0.2828
Camp 13,0.0000,0.0404,0.0202,0.0505,0.1414,0.2020,0.0808,0.2727,0.2424,0.0606,0.5758,0.5354
Camp 14,0.0000,0.0000,0.0208,0.0729,0.0104,0.0000,0.1354,0.0729,0.0521,0.3958,0.1146,0.3438
Camp 15,0.0000,0.0104,0.0521,0.0313,0.1667,0.2292,0.2396,0.3229,0.2188,0.0313,0.6146,0.5104
Camp 16,0.0000,0.0204,0.1122,0.0102,0.0204,0.1122,0.0204,0.1122,0.1327,0.4490,0.1531,0.1633
Camp 17,0.0000,0.0000,0.0515,0.0000,0.0206,0.1134,0.0103,0.2062,0.1753,0.2577,0.3918,0.1856
Camp 18,0.0000,0.0388,0.1456,0.0000,0.0097,0.1165,0.0777,0.1359,0.1359,0.3495,0.2718,0.1262
Camp 19,0.0000,0.0420,0.0420,0.0252,0.1345,0.1681,0.1092,0.1176,0.1597,0.2437,0.4454,0.4874
Camp 1E,0.0102,0.0102,0.0000,0.0510,0.0306,0.1633,0.1837,0.1122,0.2143,0.2449,0.5612,0.3265
Camp 1W,0.0000,0.0206,0.0825,0.1959,0.0722,0.0412,0.3196,0.1753,0.1031,0.1443,0.2680,0.4021
Camp 20,0.0000,0.0115,0.0230,0.0575,0.1724,0.1494,0.1149,0.2874,0.3218,0.0230,0.4253,0.6667
Camp 21,0.0000,0.0619,0.0928,0.1134,0.0412,0.1959,0.1340,0.1340,0.2165,0.2268,0.5876,0.2577
Camp 22,0.0000,0.0164,0.0738,0.0164,0.0984,0.0902,0.1148,0.1885,0.1393,0.2213,0.3443,0.5000
Camp 23,0.0105,0.0316,0.0632,0.0000,0.0632,0.0421,0.0526,0.1263,0.1684,0.4105,0.3053,0.2526
Camp 24,0.0000,0.0381,0.1048,0.0286,0.1143,0.1619,0.1524,0.1619,0.1714,0.1619,0.5143,0.3905
Camp 25,0.0000,0.0400,0.0267,0.0000,0.0200,0.0933,0.1333,0.1600,0.0667,0.3400,0.3467,0.1533
Camp 26,0.0000,0.0588,0.0956,0.0221,0.0221,0.0515,0.1618,0.1838,0.1985,0.2721,0.4118,0.3382
Camp 27,0.0000,0.0283,0.0943,0.0377,0.1226,0.1226,0.1792,0.1792,0.1981,0.1509,0.6321,0.4434
Camp 2E,0.0612,0.0204,0.0306,0.0000,0.0204,0.1224,0.0000,0.0816,0.3367,0.2551,0.2959,0.3878
Camp 2W,0.0000,0.0096,0.0481,0.0288,0.0673,0.0288,0.1346,0.0769,0.1058,0.2212,0.1731,0.5481
Camp 3,0.0000,0.0606,0.0000,0.0606,0.1212,0.1212,0.0000,0.1919,0.2828,0.0505,0.4343,0.7374
Camp 4,0.0825,0.0000,0.0412,0.0000,0.0000,0.2268,0.0000,0.1031,0.2680,0.3402,0.3093,0.1959
Camp 5,0.0000,0.0000,0.0816,0.1020,0.0408,0.1020,0.2449,0.1531,0.1531,0.2245,0.2245,0.3469
Camp 6,0.0000,0.0190,0.0095,0.0381,0.1333,0.1524,0.1333,0.2190,0.3048,0.0476,0.6000,0.5714
Camp 7,0.0000,0.0309,0.0412,0.0928,0.0103,0.0412,0.2680,0.1959,0.1959,0.1134,0.2268,0.4536
Camp 8E,0.0000,0.0115,0.0575,0.1149,0.0230,0.0805,0.1724,0.0690,0.0345,0.1724,0.1609,0.4598
Camp 8W,0.0000,0.0104,0.0417,0.0104,0.0313,0.0833,0.0417,0.1354,0.1354,0.3333,0.3125,0.1563
Camp 9,0.0000,0.0722,0.0515,0.1031,0.0928,0.1649,0.0206,0.1237,0.4227,0.0309,0.5052,0.7938
Nayapara RC,0.0000,0.0213,0.1383,0.0213,0.0957,0.0638,0.0957,0.1596,0.1489,0.2660,0.2128,0.5106
